City,Current Time,Temperature
Johannesburg,Wed 5:27 am,49 °F
San Juan,Tue 11:27 pm,79 °F
Barcelona *,Wed 5:27 am,70 °F
Karachi,Wed 8:27 am,88 °F
San Salvador,Tue 9:27 pm,81 °F
Beijing,Wed 11:27 am,74 °F
Kathmandu,Wed 9:12 am,77 °F
Santiago,Tue 11:27 pm,50 °F
Belgrade *,Wed 5:27 am,61 °F
Kingston,Tue 10:27 pm,84 °F
Santo Domingo,Tue 11:27 pm,83 °F
Bengaluru,Wed 8:57 am,75 °F
Kinshasa,Wed 4:27 am,73 °F
São Paulo,Wed 12:27 am,59 °F
Berlin *,Wed 5:27 am,63 °F
Kiritimati,Wed 5:27 pm,84 °F
Seattle *,Tue 8:27 pm,81 °F
Bogota,Tue 10:27 pm,57 °F
Kolkata,Wed 8:57 am,91 °F
Seoul,Wed 12:27 pm,86 °F
Boston *,Tue 11:27 pm,62 °F
Kuala Lumpur,Wed 11:27 am,88 °F
Shanghai,Wed 11:27 am,90 °F
Brasilia,Wed 12:27 am,63 °F
Kuwait City,Wed 6:27 am,81 °F
Singapore,Wed 11:27 am,90 °F
Brisbane,Wed 1:27 pm,75 °F
Kyiv *,Wed 6:27 am,58 °F
Sofia *,Wed 6:27 am,58 °F
Brussels *,Wed 5:27 am,55 °F
La Paz,Tue 11:27 pm,33 °F
St. John's *,Wed 12:57 am,34 °F
Bucharest *,Wed 6:27 am,59 °F
Lagos,Wed 4:27 am,82 °F
Stockholm *,Wed 5:27 am,59 °F
Budapest *,Wed 5:27 am,59 °F
Lahore,Wed 8:27 am,81 °F
Suva,Wed 3:27 pm,84 °F
Buenos Aires,Wed 12:27 am,57 °F
Las Vegas *,Tue 8:27 pm,100 °F
Sydney,Wed 1:27 pm,70 °F
Cairo *,Wed 6:27 am,75 °F
Lima,Tue 10:27 pm,70 °F
Taipei,Wed 11:27 am,95 °F
Calgary *,Tue 9:27 pm,46 °F
Lisbon *,Wed 4:27 am,63 °F
Tallinn *,Wed 6:27 am,55 °F
Canberra,Wed 1:27 pm,54 °F
London *,Wed 4:27 am,54 °F
Tashkent,Wed 8:27 am,68 °F
Cape Town,Wed 5:27 am,61 °F
Los Angeles *,Tue 8:27 pm,64 °F
Tegucigalpa,Tue 9:27 pm,77 °F
Caracas,Tue 11:27 pm,81 °F
Madrid *,Wed 5:27 am,63 °F
Tehran,Wed 6:57 am,68 °F
Casablanca *,Wed 4:27 am,68 °F
Managua,Tue 9:27 pm,86 °F
Tokyo,Wed 12:27 pm,70 °F
Chicago *,Tue 10:27 pm,62 °F
Manila,Wed 11:27 am,79 °F
Toronto *,Tue 11:27 pm,66 °F
Copenhagen *,Wed 5:27 am,59 °F
Melbourne,Wed 1:27 pm,57 °F
Vancouver *,Tue 8:27 pm,66 °F
Dallas *,Tue 10:27 pm,77 °F
Mexico City,Tue 9:27 pm,66 °F
Vienna *,Wed 5:27 am,64 °F
Dar es Salaam,Wed 6:27 am,73 °F
Miami *,Tue 11:27 pm,78 °F
Warsaw *,Wed 5:27 am,55 °F
Darwin,Wed 12:57 pm,86 °F
Minneapolis *,Tue 10:27 pm,82 °F
Washington DC *,Tue 11:27 pm,65 °F
Denver *,Tue 9:27 pm,69 °F
Minsk,Wed 6:27 am,48 °F
Winnipeg *,Tue 10:27 pm,66 °F
Detroit *,Tue 11:27 pm,64 °F
Montevideo,Wed 12:27 am,52 °F
Yangon,Wed 9:57 am,88 °F
Dhaka,Wed 9:27 am,85 °F
Montréal *,Tue 11:27 pm,64 °F
Zagreb *,Wed 5:27 am,64 °F
Doha,Wed 6:27 am,97 °F
Moscow,Wed 6:27 am,48 °F
Zürich *,Wed 5:27 am,55 °F
Dubai,Wed 7:27 am,86 °F
Mumbai,Wed 8:57 am,81 °F
Dublin *,Wed 4:27 am,54 °F
Nassau *,Tue 11:27 pm,81 °F
